,Unnamed: 0,recordnum,recordtype,recordtypemapped,recordtypedesc,description,opendate,inspectiondate,lastinspresult,statuscurrent,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1
142753,142753,000106-20CP,Complaint,Request,Vacant Building,Per Online; Building is vacant. The front door looks like it was forced open and remains open. Potential squatters inside. The building and lot is unkept - deteriorating building and overgrown vegetation.,2020-01-01,"{'type': 'Point', 'coordinates': [-122.27797731, 47.53185787]}",Completed,Completed,7856 RENTON AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000106-20CP'},47.53185787,-122.27797731,"{'latitude': '47.53185787', 'longitude': '-122.27797731'}"
142777,142777,000125-20CP,Complaint,Request,Weeds,Pines trees overhanging low over sidewalk and blocking street signs.  This is a corner lot and trees overhang on both 43rd Ave W and W. Armour,2020-01-02,"{'type': 'Point', 'coordinates': [-122.41168314, 47.64518008]}",Completed,Completed,2802 43RD AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000125-20CP'},47.64518008,-122.41168314,"{'latitude': '47.64518008', 'longitude': '-122.41168314'}"
142834,142834,000167-20CP,Complaint,Request,Land Use,"Per Online; This vacant lot has rubbish and garbage along road and on lot behind ramshackle fence parts that are propped up. Well, that is until the wind blows the fence sections down. Lot is unkept and overgrown with weeds. What an eyesore.",2020-01-03,"{'type': 'Point', 'coordinates': [-122.3600084, 47.70647282]}",,Completed,10547 2nd AVE NW,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000167-20CP'},47.70647282,-122.3600084,"{'latitude': '47.70647282', 'longitude': '-122.3600084'}"
142853,142853,000185-20CP,Complaint,Request,"Emergency , Vacant Building","Open to entry outdoor storage overgrown vegetation, debris and rubbish",2020-01-06,"{'type': 'Point', 'coordinates': [-122.34639366, 47.52340934]}",Completed,Completed,8842 9TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000185-20CP'},47.52340934,-122.34639366,"{'latitude': '47.52340934', 'longitude': '-122.34639366'}"
142900,142900,000225-20CP,Complaint,Request,Weeds,Lavender bushes are still covering 2/3 of the sidewalk,2020-01-06,"{'type': 'Point', 'coordinates': [-122.36862278, 47.64328713]}",,Completed,2602 9th AVE W,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000225-20CP'},47.64328713,-122.36862278,"{'latitude': '47.64328713', 'longitude': '-122.36862278'}"
142907,142907,000232-20CP,Complaint,Request,"Land UseWeeds ,","Per CSB: Private properties are not maintaining vegetation and garbage, also the alley is gated off from Jackson street side. Jackson Hotel 664 S Jackson St and 667 S Jackson ST T & C parking lot. There are a lot trash due to illegal dumping and wild vegitation grow",2020-01-02,"{'type': 'Point', 'coordinates': [-122.32408033, 47.59939271]}",Completed,Completed,664 S JACKSON ST,SEATTLE,WA,98104.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000232-20CP'},47.59939271,-122.32408033,"{'latitude': '47.59939271', 'longitude': '-122.32408033'}"
142912,142912,000237-20CP,Complaint,Request,Weeds,Per CSB;  overgrown vegetation,2020-01-06,"{'type': 'Point', 'coordinates': [-122.35076135, 47.68421936]}",,Completed,536 N 76TH ST,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000237-20CP'},47.68421936,-122.35076135,"{'latitude': '47.68421936', 'longitude': '-122.35076135'}"
142915,142915,000240-20CP,Complaint,Request,Weeds,"Per CSB, overgrown vegetation",2020-01-06,"{'type': 'Point', 'coordinates': [-122.38839205, 47.57343963]}",,Completed,3411 44TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000240-20CP'},47.57343963,-122.38839205,"{'latitude': '47.57343963', 'longitude': '-122.38839205'}"
142971,142971,000283-20CP,Complaint,Request,Weeds,"Vegetation and bushes growing from/adjacent the private property here that is extending onto the sidewalk.MEYER, ROB			rob.meyer@live.com",2020-01-08,"{'type': 'Point', 'coordinates': [-122.34185568, 47.66452624]}",Completed,Completed,1302 N 49TH ST,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000283-20CP'},47.66452624,-122.34185568,"{'latitude': '47.66452624', 'longitude': '-122.34185568'}"
143000,143000,000303-20CP,Complaint,Request,Weeds,"Per CSB; The chain link fence along the west side of 12th Avenue S (across from our house) is beginning to fall apart in several locations. This may be due to the blackberry bushes on the other side pulling on the fence. Now that it is winter, the blackberry bushes are not bushy and revealed that the fence is falling apart. We didn't notice that in the spring/summer when the blackberry bushes were blooming. We assume the fence is the city's responsibility to maintain and it wi",2020-01-08,"{'type': 'Point', 'coordinates': [-122.31759187, 47.568809]}",,Completed,3901 12TH AVE S,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000303-20CP'},47.568809,-122.31759187,"{'latitude': '47.568809', 'longitude': '-122.31759187'}"
143001,143001,000304-20CP,Complaint,Request,Weeds,"Per CSB; Since there is no longer parking on the west side of 35th Ave NE, I am often parking along the east side of the street, between 62nd and 64th, approximately. Prickly vegetation growing there extends into the parking spaces so that they scratch my passengers and my vehicle. These bushes need to be at least trimmed to even with the curb and better yet removed, replaced with something NOT prickly, or thinned so there are spaces for passengers to exit and enter the parked",2020-01-08,"{'type': 'Point', 'coordinates': [-122.28999132, 47.67456989]}",,Completed,6216 35TH AVE NE,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000304-20CP'},47.67456989,-122.28999132,"{'latitude': '47.67456989', 'longitude': '-122.28999132'}"
143026,143026,000323-20CP,Complaint,Request,Weeds,Junk storage and vegetation overgrowth on vacant building site.  Complaint was previously submitted for vegetation overgrowth.  Inspector discovered structure is vacant.,2020-01-09,"{'type': 'Point', 'coordinates': [-122.27831184, 47.54945666]}",,Completed,5907 44TH AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000323-20CP'},47.54945666,-122.27831184,"{'latitude': '47.54945666', 'longitude': '-122.27831184'}"
143028,143028,000324-20CP,Complaint,Request,Weeds,"Owner fails to care for the enormous plants on the planting strip causing cars to get scratched and scuffed when using parallel parking along King street. I have 1000s of dollars of paint repairs done to my car as a result of the owners failure to care for the plants. However, the more important point is people keep parking further and further away from the curb causing a potential safety hazard. People who use the parking are left to leave the car 2ft from curb to avoid damag",2020-01-09,"{'type': 'Point', 'coordinates': [-122.30791382, 47.5985605]}",,Completed,1822 S KING ST,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000324-20CP'},47.5985605,-122.30791382,"{'latitude': '47.5985605', 'longitude': '-122.30791382'}"
143033,143033,000328-20CP,Complaint,Request,Weeds,Overgrown ivy on NE 52nd St side and mossy sidewalk makes for dangerous walking conditions. Ivy also a problem on 52nd.,2020-01-09,"{'type': 'Point', 'coordinates': [-122.30799672, 47.66659498]}",Completed,Completed,5204 18TH AVE NE,SEATTLE,WA,98105.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000328-20CP'},47.66659498,-122.30799672,"{'latitude': '47.66659498', 'longitude': '-122.30799672'}"
143038,143038,000330-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetation. Still. Blocking. Sidewalk,2020-01-09,"{'type': 'Point', 'coordinates': [-122.27704658, 47.52079846]}",,Completed,4423 S BARTON ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000330-20CP'},47.52079846,-122.27704658,"{'latitude': '47.52079846', 'longitude': '-122.27704658'}"
143040,143040,000331-20CP,Complaint,Request,Weeds,PER CSB: Blocking sidewalk or stairwayPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e0fa10fe896c1d5caf7e050/photo_20200103_121519.jpg,2020-01-03,"{'type': 'Point', 'coordinates': [-122.29726473, 47.61459389]}",Completed,Closed,1512 27TH AVE,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000331-20CP'},47.61459389,-122.29726473,"{'latitude': '47.61459389', 'longitude': '-122.29726473'}"
143042,143042,000332-20CP,Complaint,Request,Weeds,PER CSB: Landscaping obstructing sidewalk.East side of the streetPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e0d017be896c1d5caf7abe6/report.jpg,2020-01-03,"{'type': 'Point', 'coordinates': [-122.3712079, 47.68664013]}",,Completed,7750 12TH AVE NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000332-20CP'},47.68664013,-122.3712079,"{'latitude': '47.68664013', 'longitude': '-122.3712079'}"
143045,143045,000335-20CP,Complaint,Request,Weeds,Per CSB; overgrown vegetation,2020-01-09,"{'type': 'Point', 'coordinates': [-122.26966266, 47.67431504]}",,Completed,6233 54TH AVE NE,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000335-20CP'},47.67431504,-122.26966266,"{'latitude': '47.67431504', 'longitude': '-122.26966266'}"
143051,143051,000341-20CP,Complaint,Request,Weeds,Per Online; Sidewalk is completely blocked by overgrown laurel hedge.,2020-01-10,"{'type': 'Point', 'coordinates': [-122.37294184, 47.51463448]}",,Completed,9834 32ND AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000341-20CP'},47.51463448,-122.37294184,"{'latitude': '47.51463448', 'longitude': '-122.37294184'}"
143065,143065,000353-20CP,Complaint,Request,Weeds,Weeds and shrubs over growing sidewalk and making it dangerous for walking.  It is particularly dangerous because the street is on a steep hill.,2020-01-10,"{'type': 'Point', 'coordinates': [-122.37979775, 47.56010531]}",Completed,Completed,4732 38TH AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000353-20CP'},47.56010531,-122.37979775,"{'latitude': '47.56010531', 'longitude': '-122.37979775'}"
143066,143066,000354-20CP,Complaint,Request,Weeds,Encroachment of shrubbery on sidewalk.  This is a hill and walkers using the sidewalk should be able to use the intermitently raised side of the sidewalk for extra safety during rainy or snowy weather.,2020-01-10,"{'type': 'Point', 'coordinates': [-122.37977596, 47.56021637]}",Completed,Completed,4728 38TH AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000354-20CP'},47.56021637,-122.37977596,"{'latitude': '47.56021637', 'longitude': '-122.37977596'}"
143115,143115,000396-20CP,Complaint,Request,Weeds,"They seem to be in gross violation of the Weeds and Vegetation Code. The vegetation has grown so far onto the sidewalk that you have to walk in the grass. Making matter worse is that much of the vegetation is blackberry, with thorns as reminders. Just today I slipped and almost fell as the grass had turned to mud.",2020-01-12,"{'type': 'Point', 'coordinates': [-122.28474305, 47.56604619]}",Completed,Completed,4102 38TH AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000396-20CP'},47.56604619,-122.28474305,"{'latitude': '47.56604619', 'longitude': '-122.28474305'}"
143134,143134,000410-20CP,Complaint,Request,Weeds,Weeds & Overgrown Vegetation: overgrown trees block pathways,2020-01-13,"{'type': 'Point', 'coordinates': [-122.34052431, 47.65291154]}",,Completed,3803 Ashworth AVE N,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000410-20CP'},47.65291154,-122.34052431,"{'latitude': '47.65291154', 'longitude': '-122.34052431'}"
143162,143162,000437-20CP,Complaint,Request,Weeds,"Per CSB, overgrown vegetation",2020-01-13,"{'type': 'Point', 'coordinates': [-122.36636076, 47.68809055]}",,Completed,8111 8TH AVE NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000437-20CP'},47.68809055,-122.36636076,"{'latitude': '47.68809055', 'longitude': '-122.36636076'}"
143163,143163,000438-20CP,Complaint,Request,Weeds,"Per CSB, overgrown vegetation",2020-01-13,"{'type': 'Point', 'coordinates': [-122.31234628, 47.72183788]}",,Completed,12720 15TH AVE NE,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000438-20CP'},47.72183788,-122.31234628,"{'latitude': '47.72183788', 'longitude': '-122.31234628'}"
143165,143165,000440-20CP,Complaint,Request,Weeds,Per CSB; Blackberries and other vegetation overgrown and covering half of the paved street on 26th ave sw between SW Thistle St and SW Trenton St.some spots are so overgrown that it is hard to squeeze through in a car.,2020-01-14,"{'type': 'Point', 'coordinates': [-122.36555431, 47.52781329]}",,Completed,8412 26TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000440-20CP'},47.52781329,-122.36555431,"{'latitude': '47.52781329', 'longitude': '-122.36555431'}"
143184,143184,000454-20CP,Complaint,Request,Weeds,The back yard is over grow into the street by 4+ feet just after a curve on 33rd street NE... blocking where kids need to walk to/from school safely. also neighboring property...11515 34th NE 98125 is over grown.,2020-01-15,"{'type': 'Point', 'coordinates': [-122.29264064, 47.71262446]}",Completed,Closed,11523 34th AVE NE,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000454-20CP'},47.71262446,-122.29264064,"{'latitude': '47.71262446', 'longitude': '-122.29264064'}"
143200,143200,000470-20CP,Complaint,Request,Weeds,Per CSB; Residents report overgrown vegetation at SE corner of N 143rd St and 1st Ave NE prevents pedestrians from staying off road when walking. Situation becomes scary when cars are turning S from the E.,2020-01-16,"{'type': 'Point', 'coordinates': [-122.35793458, 47.73213933]}",Completed,Completed,103 N 143RD ST,SEATTLE,WA,98133.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000470-20CP'},47.73213933,-122.35793458,"{'latitude': '47.73213933', 'longitude': '-122.35793458'}"
143205,143205,000475-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairwayShrubbery blocking pedestrian right of way.,2020-01-14,"{'type': 'Point', 'coordinates': [-122.35077428, 47.65876492]}",Completed,Completed,4234 EVANSTON AVE N,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000475-20CP'},47.65876492,-122.35077428,"{'latitude': '47.65876492', 'longitude': '-122.35077428'}"
143207,143207,000477-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairwayHedge growing into sidewalk next door to an elementary school,2020-01-14,"{'type': 'Point', 'coordinates': [-122.28317016, 47.5643769]}",,Completed,4163 CASCADIA AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000477-20CP'},47.5643769,-122.28317016,"{'latitude': '47.5643769', 'longitude': '-122.28317016'}"
143232,143232,000503-20CP,Complaint,Request,Weeds,PER CSB: overgrown vegetationPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e1272c2e896c1d5caf80c8b/report.jpg,2020-01-16,"{'type': 'Point', 'coordinates': [-122.3844066, 47.65004345]}",,Completed,3250 22ND AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000503-20CP'},47.65004345,-122.3844066,"{'latitude': '47.65004345', 'longitude': '-122.3844066'}"
143233,143233,000504-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetationPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e14a82ce896c1d5caf832c4/photo_20200107_074739.jpg,2020-01-07,"{'type': 'Point', 'coordinates': [-122.37628314, 47.52499925]}",,Completed,8650 35TH AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000504-20CP'},47.52499925,-122.37628314,"{'latitude': '47.52499925', 'longitude': '-122.37628314'}"
143234,143234,000505-20CP,Complaint,Request,Weeds,PER CSB: Vegetation completely obstructs sidewalk. Even little kids have to walk off the sidewalk.PHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e14ac55e896c1d5caf83375/report.jpg,2020-01-07,"{'type': 'Point', 'coordinates': [-122.31430254, 47.58470261]}",,Closed,2026 14TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000505-20CP'},47.58470261,-122.31430254,"{'latitude': '47.58470261', 'longitude': '-122.31430254'}"
143235,143235,000506-20CP,Complaint,Request,Weeds,PER CSB: the blackberries have been over grown on this sidewalk for a very long time. the sidewalk is covered in grass and moss because no one can walk on it due to the blackberries. the owner refuses to fix it.PHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e173ab9e896c1d5caf87056/report.jpg,2020-01-16,"{'type': 'Point', 'coordinates': [-122.27513123, 47.53964766]}",Completed,Completed,7002 46TH AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000506-20CP'},47.53964766,-122.27513123,"{'latitude': '47.53964766', 'longitude': '-122.27513123'}"
143236,143236,000507-20CP,Complaint,Request,Weeds,"PER CSB: Property is addressed as 4520 Delridge Way, and is a through-lot that also abuts 23rd Ave SW. It is the portion of the property that abuts the sidewalk along 23rd Ave SW that has a chronic problem of vegetation overgrowth putting pedestrians in a very precarious position as the sidewalk has no separation from the very busy arterial.**Mapping online looks more like 45110, 4514 and 4518 - JH**PHOTO LINKS:http://311-hubpres1.motorolasolutions.com/imageapi/image/sea",2020-01-09,"{'type': 'Point', 'coordinates': [-122.36303447, 47.56243166]}",Completed,Completed,4514 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000507-20CP'},47.56243166,-122.36303447,"{'latitude': '47.56243166', 'longitude': '-122.36303447'}"
143237,143237,000508-20CP,Complaint,Request,Weeds,"PER CSB: Property is addressed as 4520 Delridge Way, and is a through-lot that also abuts 23rd Ave SW. It is the portion of the property that abuts the sidewalk along 23rd Ave SW that has a chronic problem of vegetation overgrowth putting pedestrians in a very precarious position as the sidewalk has no separation from the very busy arterial.**Mapping online looks more like 4510, 4514 and 4518 - JH**PHOTO LINKS:http://311-hubpres1.motorolasolutions.com/imageapi/image/seat",2020-01-09,"{'type': 'Point', 'coordinates': [-122.3630626, 47.56254664]}",Completed,Completed,4510 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000508-20CP'},47.56254664,-122.3630626,"{'latitude': '47.56254664', 'longitude': '-122.3630626'}"
143238,143238,000509-20CP,Complaint,Request,Weeds,"PER CSB: Property is addressed as 4520 Delridge Way, and is a through-lot that also abuts 23rd Ave SW. It is the portion of the property that abuts the sidewalk along 23rd Ave SW that has a chronic problem of vegetation overgrowth putting pedestrians in a very precarious position as the sidewalk has no separation from the very busy arterial.**Mapping online looks more like 45110, 4514 and 4518 - JH**PHOTO LINKS:http://311-hubpres1.motorolasolutions.com/imageapi/image/sea",2020-01-09,"{'type': 'Point', 'coordinates': [-122.36269434, 47.56232481]}",Completed,Completed,4518 C DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000509-20CP'},47.56232481,-122.36269434,"{'latitude': '47.56232481', 'longitude': '-122.36269434'}"
